,Provider,PotentialFraud,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
0,PRV51003,Yes,3.67,117,132,1.13,671956,5743.21,0,4,93,111
1,PRV51005,Yes,1.09,495,1165,2.35,284610,574.97,2,98,1165,356
2,PRV51021,Yes,2.0,208,257,1.24,380322,1828.47,1,17,240,176
3,PRV51037,Yes,1.53,206,454,2.2,367754,1785.21,3,37,445,274
4,PRV51052,Yes,2.28,37,46,1.24,33146,895.84,0,3,45,42
5,PRV51059,Yes,2.48,82,96,1.17,448000,5463.41,0,9,79,83
6,PRV51064,Yes,1.95,227,303,1.33,399268,1758.89,0,27,283,196
7,PRV51067,Yes,2.31,49,58,1.18,347616,7094.2,0,5,49,52
8,PRV51077,Yes,4.18,30,33,1.1,212570,7085.67,0,0,27,32
9,PRV51084,Yes,1.67,85,110,1.29,237470,2793.76,0,8,100,98
10,PRV51103,Yes,0.0,4,6,1.5,500,125.0,1,0,6,6
11,PRV51119,Yes,6.04,81,95,1.17,1088565,13439.07,0,10,39,85
12,PRV51126,Yes,6.5,14,20,1.43,198360,14168.57,0,0,7,19
13,PRV51145,Yes,4.9,161,202,1.25,1715098,10652.78,0,5,105,159
14,PRV51146,Yes,3.42,334,352,1.05,1795580,5375.99,1,38,264,232
15,PRV51148,Yes,1.85,263,330,1.25,519954,1977.01,1,28,303,222
16,PRV51149,Yes,4.69,136,148,1.09,1244638,9151.75,0,3,81,126
17,PRV51159,Yes,1.74,506,569,1.12,868240,1715.89,3,48,535,292
18,PRV51170,Yes,3.12,16,16,1.0,154364,9647.75,0,2,10,15
19,PRV51173,Yes,4.32,21,22,1.05,103966,4950.76,0,3,16,22
20,PRV51178,Yes,4.52,64,65,1.02,467782,7309.09,0,1,44,61
21,PRV51242,Yes,1.59,87,111,1.28,124300,1428.74,0,7,104,91
22,PRV51244,Yes,1.92,659,1415,2.15,2330908,3537.04,2,105,1300,362
23,PRV51249,Yes,3.55,101,126,1.25,514804,5097.07,0,10,100,105
24,PRV51263,Yes,4.75,37,44,1.19,237464,6417.95,0,4,35,40
25,PRV51337,Yes,2.2,155,168,1.08,418052,2697.11,1,18,150,132
26,PRV51338,Yes,1.69,124,128,1.03,121786,982.15,0,6,124,106
27,PRV51347,Yes,1.25,947,2067,2.18,601990,635.68,2,185,2066,370
28,PRV51357,Yes,1.76,149,161,1.08,213066,1429.97,0,18,151,130
29,PRV51369,Yes,1.59,963,2083,2.16,608190,631.56,2,184,2082,367
30,PRV51378,Yes,4.48,133,161,1.21,1276550,9598.12,0,15,93,124
31,PRV51390,Yes,4.33,253,275,1.09,1748446,6910.85,0,14,178,191
32,PRV51393,Yes,1.59,329,910,2.77,953800,2899.09,3,61,869,337
33,PRV51399,Yes,2.52,199,211,1.06,909518,4570.44,3,12,174,166
34,PRV51401,Yes,3.36,42,42,1.0,93146,2217.76,0,3,36,41
35,PRV51410,Yes,1.44,186,628,3.38,179470,964.89,1,45,627,303
36,PRV51421,Yes,4.68,135,139,1.03,960584,7115.44,1,14,89,122
37,PRV51426,Yes,1.14,91,206,2.26,152068,1671.08,0,10,202,154
38,PRV51433,Yes,1.56,862,1610,1.87,459300,532.83,5,124,1609,369
39,PRV51434,Yes,1.94,97,102,1.05,265334,2735.4,1,8,88,93
40,PRV51447,Yes,2.2,80,89,1.11,286708,3583.85,0,7,79,79
41,PRV51459,Yes,1.4,2857,8240,2.88,2344680,820.68,31,635,8236,381
42,PRV51471,Yes,4.88,173,180,1.04,1715818,9918.02,0,1,95,138
43,PRV51480,Yes,1.56,759,1924,2.53,563360,742.24,5,175,1924,369
44,PRV51482,Yes,1.47,90,91,1.01,230318,2559.09,0,6,87,77
45,PRV51490,Yes,4.05,56,64,1.14,493334,8809.54,1,6,43,56
46,PRV51495,Yes,4.95,127,141,1.11,913674,7194.28,0,11,96,120
47,PRV51501,Yes,5.46,217,233,1.07,2243126,10336.99,1,1,121,169
48,PRV51507,Yes,1.38,726,1013,1.4,346528,477.31,0,85,1009,346
49,PRV51539,Yes,1.65,488,538,1.1,915084,1875.17,2,55,491,287
50,PRV51542,Yes,4.96,97,113,1.16,1049878,10823.48,0,19,58,100
51,PRV51560,Yes,5.27,204,238,1.17,2136450,10472.79,3,3,118,174
52,PRV51567,Yes,1.26,827,1632,1.97,470020,568.34,4,160,1632,361
53,PRV51574,Yes,1.42,1715,4444,2.59,1294100,754.58,10,351,4443,378
54,PRV51578,Yes,1.8,1280,1500,1.17,1761070,1375.84,3,115,1439,365
55,PRV51584,Yes,2.33,78,82,1.05,186184,2386.97,0,9,73,73
56,PRV51586,Yes,5.88,8,8,1.0,78918,9864.75,0,0,3,8
57,PRV51590,Yes,5.24,82,84,1.02,823752,10045.76,0,0,41,76
