Provider,ClaimNum,DupClaimNum,DupClaimRatio,DupClaim
PRV51001,5,0.0,0.0,no
PRV51003,62,1.0,0.016129032258064516,yes
PRV51007,3,0.0,0.0,no
PRV51008,2,0.0,0.0,no
PRV51011,1,0.0,0.0,no
PRV51021,29,3.0,0.10344827586206896,yes
PRV51023,9,1.0,0.1111111111111111,yes
PRV51024,9,1.0,0.1111111111111111,yes
PRV51025,13,0.0,0.0,no
PRV51030,82,2.0,0.024390243902439025,yes
PRV51031,28,0.0,0.0,no
PRV51035,1,0.0,0.0,no
PRV51037,23,1.0,0.043478260869565216,yes
PRV51038,30,2.0,0.06666666666666667,yes
PRV51040,9,1.0,0.1111111111111111,yes
PRV51046,8,0.0,0.0,no
PRV51048,4,0.0,0.0,no
PRV51052,2,0.0,0.0,no
PRV51053,1,0.0,0.0,no
PRV51055,2,0.0,0.0,no
PRV51056,2,0.0,0.0,no
PRV51058,5,0.0,0.0,no
PRV51059,25,0.0,0.0,no
PRV51060,5,1.0,0.2,yes
PRV51061,1,0.0,0.0,no
PRV51062,3,0.0,0.0,no
PRV51064,36,2.0,0.05555555555555555,yes
PRV51065,10,1.0,0.1,yes
PRV51066,2,0.0,0.0,no
PRV51067,12,0.0,0.0,no
PRV51068,9,0.0,0.0,no
PRV51070,10,0.0,0.0,no
PRV51072,12,0.0,0.0,no
PRV51074,5,0.0,0.0,no
PRV51077,16,0.0,0.0,no
PRV51078,9,0.0,0.0,no
PRV51081,6,0.0,0.0,no
PRV51084,20,0.0,0.0,no
PRV51086,31,2.0,0.06451612903225806,yes
PRV51089,18,0.0,0.0,no
PRV51093,2,0.0,0.0,no
PRV51100,5,0.0,0.0,no
PRV51101,3,0.0,0.0,no
PRV51102,12,1.0,0.08333333333333333,yes
PRV51108,19,1.0,0.05263157894736842,yes
PRV51109,3,0.0,0.0,no
PRV51110,5,0.0,0.0,no
PRV51118,16,0.0,0.0,no
PRV51119,94,3.0,0.031914893617021274,yes
PRV51120,7,0.0,0.0,no
PRV51121,6,0.0,0.0,no
PRV51123,2,0.0,0.0,no
PRV51125,12,0.0,0.0,no
PRV51126,20,2.0,0.1,yes
PRV51128,5,0.0,0.0,no
PRV51132,1,0.0,0.0,no
PRV51136,1,0.0,0.0,no
PRV51137,1,0.0,0.0,no
PRV51138,1,0.0,0.0,no
PRV51139,7,0.0,0.0,no
PRV51140,47,3.0,0.06382978723404255,yes
PRV51142,7,0.0,0.0,no
PRV51144,4,0.0,0.0,no
PRV51145,161,7.0,0.043478260869565216,yes
PRV51146,162,10.0,0.06172839506172839,yes
PRV51148,34,1.0,0.029411764705882353,yes
PRV51149,116,2.0,0.017241379310344827,yes
PRV51151,22,1.0,0.045454545454545456,yes
PRV51153,4,0.0,0.0,no
PRV51159,65,1.0,0.015384615384615385,yes
PRV51160,90,1.0,0.011111111111111112,yes
PRV51164,41,3.0,0.07317073170731707,yes
PRV51165,26,1.0,0.038461538461538464,yes
PRV51166,1,0.0,0.0,no
PRV51168,9,0.0,0.0,no
PRV51170,8,0.0,0.0,no
PRV51173,7,0.0,0.0,no
PRV51178,34,0.0,0.0,no
PRV51180,2,0.0,0.0,no
PRV51183,41,0.0,0.0,no
PRV51190,3,0.0,0.0,no
PRV51194,2,0.0,0.0,no
PRV51207,3,0.0,0.0,no
PRV51231,2,0.0,0.0,no
PRV51232,1,0.0,0.0,no
PRV51233,3,0.0,0.0,no
PRV51234,5,0.0,0.0,no
PRV51235,2,0.0,0.0,no
PRV51236,1,0.0,0.0,no
PRV51237,1,0.0,0.0,no
PRV51238,8,1.0,0.125,yes
PRV51239,1,0.0,0.0,no
PRV51240,11,0.0,0.0,no
PRV51241,10,0.0,0.0,no
PRV51242,11,1.0,0.09090909090909091,yes
PRV51244,200,9.0,0.045,yes
PRV51245,4,0.0,0.0,no
PRV51247,10,0.0,0.0,no
PRV51248,1,0.0,0.0,no
PRV51249,51,4.0,0.0784313725490196,yes
PRV51252,18,1.0,0.05555555555555555,yes
PRV51255,2,0.0,0.0,no
PRV51258,8,0.0,0.0,no
PRV51259,4,0.0,0.0,no
PRV51260,3,0.0,0.0,no
PRV51261,26,1.0,0.038461538461538464,yes
PRV51263,18,1.0,0.05555555555555555,yes
PRV51266,10,1.0,0.1,yes
PRV51267,2,0.0,0.0,no
PRV51271,2,0.0,0.0,no
PRV51272,2,0.0,0.0,no
PRV51274,10,1.0,0.1,yes
PRV51276,14,0.0,0.0,no
PRV51277,10,0.0,0.0,no
PRV51282,8,0.0,0.0,no
PRV51284,17,2.0,0.11764705882352941,yes
PRV51285,15,0.0,0.0,no
PRV51286,15,0.0,0.0,no
PRV51288,3,1.0,0.3333333333333333,yes
PRV51296,3,0.0,0.0,no
PRV51297,5,0.0,0.0,no
PRV51300,7,3.0,0.42857142857142855,yes
PRV51301,6,0.0,0.0,no
PRV51302,10,0.0,0.0,no
PRV51304,2,0.0,0.0,no
PRV51305,11,0.0,0.0,no
PRV51311,3,0.0,0.0,no
PRV51312,4,0.0,0.0,no
PRV51316,3,0.0,0.0,no
PRV51318,3,0.0,0.0,no
PRV51334,2,1.0,0.5,yes
PRV51336,10,0.0,0.0,no
PRV51337,40,0.0,0.0,no
PRV51338,7,0.0,0.0,no
PRV51342,28,3.0,0.10714285714285714,yes
PRV51344,2,0.0,0.0,no
PRV51346,5,0.0,0.0,no
PRV51348,19,0.0,0.0,no
PRV51349,5,0.0,0.0,no
PRV51350,21,1.0,0.047619047619047616,yes
PRV51353,5,0.0,0.0,no
PRV51354,1,0.0,0.0,no
PRV51355,15,0.0,0.0,no
PRV51356,17,0.0,0.0,no
PRV51357,13,1.0,0.07692307692307693,yes
PRV51358,7,0.0,0.0,no
PRV51360,9,1.0,0.1111111111111111,yes
PRV51362,6,0.0,0.0,no
PRV51364,6,0.0,0.0,no
PRV51371,11,0.0,0.0,no
PRV51377,3,0.0,0.0,no
PRV51378,108,4.0,0.037037037037037035,yes
PRV51379,2,0.0,0.0,no
PRV51380,4,0.0,0.0,no
PRV51383,9,0.0,0.0,no
PRV51387,13,1.0,0.07692307692307693,yes
PRV51388,14,0.0,0.0,no
PRV51389,18,1.0,0.05555555555555555,yes
PRV51390,164,3.0,0.018292682926829267,yes
PRV51391,13,1.0,0.07692307692307693,yes
PRV51393,68,3.0,0.04411764705882353,yes
PRV51396,3,0.0,0.0,no
PRV51398,1,0.0,0.0,no
PRV51399,65,6.0,0.09230769230769231,yes
PRV51401,8,0.0,0.0,no
PRV51403,10,0.0,0.0,no
PRV51404,1,0.0,0.0,no
PRV51405,2,0.0,0.0,no
PRV51406,8,0.0,0.0,no
PRV51414,3,0.0,0.0,no
PRV51415,7,1.0,0.14285714285714285,yes
PRV51418,17,2.0,0.11764705882352941,yes
PRV51419,2,0.0,0.0,no
PRV51421,84,3.0,0.03571428571428571,yes
PRV51422,4,0.0,0.0,no
PRV51424,1,0.0,0.0,no
PRV51425,3,0.0,0.0,no
PRV51426,6,0.0,0.0,no
PRV51427,5,1.0,0.2,yes
PRV51428,4,0.0,0.0,no
PRV51430,17,0.0,0.0,no
PRV51431,25,0.0,0.0,no
PRV51432,7,0.0,0.0,no
PRV51434,24,0.0,0.0,no
PRV51435,6,0.0,0.0,no
PRV51436,25,1.0,0.04,yes
PRV51438,2,1.0,0.5,yes
PRV51440,7,0.0,0.0,no
PRV51442,2,0.0,0.0,no
