,Provider,group,DupClaimStates,DupClaimStatesNum,DupClaimMultiState
0,PRV51003,[593],"[1, 31]",2,yes
1,PRV51021,[ 74 645],"[1, 5]",2,yes
2,PRV51023,[229],"[1, 5]",2,yes
3,PRV51024,[541],"[1, 45]",2,yes
4,PRV51030,[259 282],"[16, 1, 5]",3,yes
5,PRV51037,[519],"[1, 5]",2,yes
6,PRV51038,[255 528],"[16, 1, 36]",3,yes
7,PRV51040,[590],"[1, 10]",2,yes
8,PRV51060,[329],"[49, 1]",2,yes
9,PRV51064,[231 328],"[1, 45, 39]",3,yes
10,PRV51065,[351],"[1, 11, 36]",3,yes
11,PRV51086,[254 332],"[1, 10, 11, 14]",4,yes
12,PRV51102,[254],"[1, 10]",2,yes
13,PRV51108,[5],"[1, 18]",2,yes
14,PRV51119,[ 18 369 602],"[24, 1, 5, 25]",4,yes
15,PRV51126,[378 394],"[2, 4, 45]",3,yes
16,PRV51140,[176 206 416],"[10, 3, 4, 21]",4,yes
17,PRV51145,[ 17 140 157 185 258 277 284],"[33, 34, 3, 5, 37, 39, 49]",7,yes
18,PRV51146,[  4  53  61 184 368 390 477 545 633 697],"[33, 34, 3, 10, 11, 47, 16, 15, 18, 51, 50, 29]",12,yes
19,PRV51148,[61],"[3, 29]",2,yes
20,PRV51149,[441 669],"[11, 10, 3]",3,yes
21,PRV51151,[67],"[3, 4]",2,yes
22,PRV51159,[415],"[36, 38]",2,yes
23,PRV51160,[115],"[3, 51]",2,yes
24,PRV51164,[ 96 257 360],"[10, 3, 45, 39]",4,yes
25,PRV51165,[388],"[24, 44]",2,yes
26,PRV51238,[698],"[3, 11]",2,yes
27,PRV51242,[504],"[18, 4, 5, 31]",4,yes
28,PRV51244,[ 51  70  79 161 323 383 506 646 703],"[32, 4, 5, 7, 39, 14, 46, 51, 26]",9,yes
29,PRV51249,[ 15 270 500 614],"[33, 4, 31, 23]",4,yes
30,PRV51252,[176],"[3, 4]",2,yes
31,PRV51261,[572],"[26, 5]",2,yes
32,PRV51263,[21],"[4, 36]",2,yes
33,PRV51266,[379],"[34, 4]",2,yes
34,PRV51274,[438],"[26, 4]",2,yes
35,PRV51284,[169 378],"[50, 2, 4]",3,yes
36,PRV51288,[67],"[3, 4]",2,yes
37,PRV51300,[ 56 158 330],"[4, 5, 39, 10, 11, 52]",6,yes
38,PRV51334,[289],"[4, 31]",2,yes
39,PRV51342,[  7 253 364],"[5, 44, 45, 49, 52]",5,yes
