,Provider,ClaimNum,DupClaimNum,DupClaimRatio,DupClaim,group_x,DupClaimStates,DupClaimStatesNum,DupClaimMultiState,group_y,DupClaimProvider_x,DupClaimProviderNum_x,DupClaimMultiProvider_x,group,DupClaimProvider_y,DupClaimProviderNum_y,DupClaimMultiProvider_y
0,PRV51001,5,0.0,0.0,no,,,,,,,,,,,,
1,PRV51003,62,1.0,0.016129032258064516,yes,[593],"[1, 31]",2.0,yes,[593],"['PRV51003', 'PRV54757']",2.0,yes,[593],"['PRV51003', 'PRV54757']",2.0,yes
2,PRV51007,3,0.0,0.0,no,,,,,,,,,,,,
3,PRV51008,2,0.0,0.0,no,,,,,,,,,,,,
4,PRV51011,1,0.0,0.0,no,,,,,,,,,,,,
5,PRV51021,29,3.0,0.10344827586206896,yes,[ 74 645],"[1, 5]",2.0,yes,[ 74 645],"['PRV51021', 'PRV51809']",2.0,yes,[ 74 645],"['PRV51021', 'PRV51809']",2.0,yes
6,PRV51023,9,1.0,0.1111111111111111,yes,[229],"[1, 5]",2.0,yes,[229],"['PRV51495', 'PRV51023']",2.0,yes,[229],"['PRV51495', 'PRV51023']",2.0,yes
7,PRV51024,9,1.0,0.1111111111111111,yes,[541],"[1, 45]",2.0,yes,[541],"['PRV56685', 'PRV51024']",2.0,yes,[541],"['PRV56685', 'PRV51024']",2.0,yes
8,PRV51025,13,0.0,0.0,no,,,,,,,,,,,,
9,PRV51030,82,2.0,0.024390243902439025,yes,[259 282],"[16, 1, 5]",3.0,yes,[259 282],"['PRV51399', 'PRV52989', 'PRV51030']",3.0,yes,[259 282],"['PRV51399', 'PRV52989', 'PRV51030']",3.0,yes
10,PRV51031,28,0.0,0.0,no,,,,,,,,,,,,
11,PRV51035,1,0.0,0.0,no,,,,,,,,,,,,
12,PRV51037,23,1.0,0.043478260869565216,yes,[519],"[1, 5]",2.0,yes,[519],"['PRV51399', 'PRV51037']",2.0,yes,[519],"['PRV51399', 'PRV51037']",2.0,yes
13,PRV51038,30,2.0,0.06666666666666667,yes,[255 528],"[16, 1, 36]",3.0,yes,[255 528],"['PRV52998', 'PRV51038', 'PRV55462']",3.0,yes,[255 528],"['PRV52998', 'PRV51038', 'PRV55462']",3.0,yes
14,PRV51040,9,1.0,0.1111111111111111,yes,[590],"[1, 10]",2.0,yes,[590],"['PRV52281', 'PRV51040']",2.0,yes,[590],"['PRV52281', 'PRV51040']",2.0,yes
15,PRV51046,8,0.0,0.0,no,,,,,,,,,,,,
16,PRV51048,4,0.0,0.0,no,,,,,,,,,,,,
17,PRV51052,2,0.0,0.0,no,,,,,,,,,,,,
18,PRV51053,1,0.0,0.0,no,,,,,,,,,,,,
19,PRV51055,2,0.0,0.0,no,,,,,,,,,,,,
20,PRV51056,2,0.0,0.0,no,,,,,,,,,,,,
21,PRV51058,5,0.0,0.0,no,,,,,,,,,,,,
22,PRV51059,25,0.0,0.0,no,,,,,,,,,,,,
23,PRV51060,5,1.0,0.2,yes,[329],"[49, 1]",2.0,yes,[329],"['PRV57223', 'PRV51060']",2.0,yes,[329],"['PRV57223', 'PRV51060']",2.0,yes
24,PRV51061,1,0.0,0.0,no,,,,,,,,,,,,
25,PRV51062,3,0.0,0.0,no,,,,,,,,,,,,
26,PRV51064,36,2.0,0.05555555555555555,yes,[231 328],"[1, 45, 39]",3.0,yes,[231 328],"['PRV55943', 'PRV51064', 'PRV56577']",3.0,yes,[231 328],"['PRV55943', 'PRV51064', 'PRV56577']",3.0,yes
27,PRV51065,10,1.0,0.1,yes,[351],"[1, 11, 36]",3.0,yes,[351],"['PRV55509', 'PRV51065', 'PRV52340']",3.0,yes,[351],"['PRV55509', 'PRV51065', 'PRV52340']",3.0,yes
28,PRV51066,2,0.0,0.0,no,,,,,,,,,,,,
29,PRV51067,12,0.0,0.0,no,,,,,,,,,,,,
30,PRV51068,9,0.0,0.0,no,,,,,,,,,,,,
31,PRV51070,10,0.0,0.0,no,,,,,,,,,,,,
32,PRV51072,12,0.0,0.0,no,,,,,,,,,,,,
33,PRV51074,5,0.0,0.0,no,,,,,,,,,,,,
34,PRV51077,16,0.0,0.0,no,,,,,,,,,,,,
35,PRV51078,9,0.0,0.0,no,,,,,,,,,,,,
36,PRV51081,6,0.0,0.0,no,,,,,,,,,,,,
37,PRV51084,20,0.0,0.0,no,,,,,,,,,,,,
38,PRV51086,31,2.0,0.06451612903225806,yes,[254 332],"[1, 10, 11, 14]",4.0,yes,[254 332],"['PRV57205', 'PRV54367', 'PRV51086', 'PRV51102']",4.0,yes,[254 332],"['PRV57205', 'PRV54367', 'PRV51086', 'PRV51102']",4.0,yes
