Provider,PotentialFraud,DupClaimNum_IP,DupClaimRatio_IP,DupClaim_IP,DupClaimStatesNum_IP,DupClaimMultiState_IP,DupClaimProviderNum_IP,DupClaimMultiProvider_IP,DupClaimStartDtNum_IP,DupClaimMultiStartDt_IP,DupClaimNum_OP,DupClaimRatio_OP,DupClaim_OP,DupClaimStatesNum_OP,DupClaimMultiState_OP,DupClaimProviderNum_OP,DupClaimMultiProvider_OP,DupClaimStartDtNum_OP,DupClaimMultiStartDt_OP
PRV51001,No,0.0,0.0,no,,,,,,,11.0,0.55,yes,50.0,yes,422.0,yes,278.0,yes
PRV51003,Yes,1.0,0.016129032258064516,yes,2.0,yes,2.0,yes,2.0,yes,25.0,0.35714285714285715,yes,52.0,yes,1351.0,yes,372.0,yes
PRV51004,No,,,,,,,,,,72.0,0.48322147651006714,yes,52.0,yes,3006.0,yes,375.0,yes
PRV51005,Yes,,,,,,,,,,530.0,0.45493562231759654,yes,52.0,yes,3920.0,yes,382.0,yes
PRV51007,No,0.0,0.0,no,,,,,,,29.0,0.42028985507246375,yes,52.0,yes,1816.0,yes,371.0,yes
PRV51008,No,0.0,0.0,no,,,,,,,15.0,0.36585365853658536,yes,52.0,yes,2487.0,yes,371.0,yes
PRV51011,No,0.0,0.0,no,,,,,,,27.0,0.47368421052631576,yes,52.0,yes,2698.0,yes,372.0,yes
PRV51012,No,,,,,,,,,,20.0,0.4166666666666667,yes,51.0,yes,1188.0,yes,366.0,yes
PRV51013,No,,,,,,,,,,18.0,0.391304347826087,yes,52.0,yes,2451.0,yes,372.0,yes
PRV51014,No,,,,,,,,,,8.0,0.26666666666666666,yes,52.0,yes,859.0,yes,356.0,yes
PRV51015,No,,,,,,,,,,3.0,0.375,yes,47.0,yes,394.0,yes,275.0,yes
PRV51016,No,,,,,,,,,,2.0,0.3333333333333333,yes,50.0,yes,595.0,yes,324.0,yes
PRV51017,No,,,,,,,,,,203.0,0.3941747572815534,yes,52.0,yes,3507.0,yes,382.0,yes
PRV51021,Yes,3.0,0.10344827586206896,yes,2.0,yes,2.0,yes,3.0,yes,102.0,0.4473684210526316,yes,52.0,yes,3178.0,yes,381.0,yes
PRV51023,No,1.0,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,11.0,0.4074074074074074,yes,52.0,yes,2427.0,yes,372.0,yes
PRV51024,No,1.0,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,14.0,0.4666666666666667,yes,52.0,yes,803.0,yes,359.0,yes
PRV51025,No,0.0,0.0,no,,,,,,,31.0,0.4189189189189189,yes,52.0,yes,2097.0,yes,367.0,yes
PRV51026,No,,,,,,,,,,44.0,0.5789473684210527,yes,52.0,yes,1391.0,yes,369.0,yes
PRV51027,No,,,,,,,,,,30.0,0.5660377358490566,yes,52.0,yes,3018.0,yes,378.0,yes
PRV51029,No,,,,,,,,,,32.0,0.34408602150537637,yes,51.0,yes,997.0,yes,362.0,yes
PRV51030,No,2.0,0.024390243902439025,yes,3.0,yes,3.0,yes,4.0,yes,42.0,0.47191011235955055,yes,52.0,yes,2686.0,yes,375.0,yes
PRV51031,No,0.0,0.0,no,,,,,,,72.0,0.4585987261146497,yes,52.0,yes,3020.0,yes,376.0,yes
PRV51032,No,,,,,,,,,,12.0,0.5217391304347826,yes,48.0,yes,483.0,yes,311.0,yes
PRV51035,No,0.0,0.0,no,,,,,,,17.0,0.5862068965517241,yes,52.0,yes,2329.0,yes,371.0,yes
PRV51036,No,,,,,,,,,,116.0,0.4172661870503597,yes,52.0,yes,3393.0,yes,380.0,yes
PRV51037,Yes,1.0,0.043478260869565216,yes,2.0,yes,2.0,yes,2.0,yes,187.0,0.43387470997679817,yes,52.0,yes,3396.0,yes,381.0,yes
PRV51038,No,2.0,0.06666666666666668,yes,3.0,yes,3.0,yes,4.0,yes,56.0,0.5045045045045045,yes,52.0,yes,2691.0,yes,372.0,yes
PRV51040,No,1.0,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,33.0,0.42857142857142855,yes,52.0,yes,2895.0,yes,375.0,yes
PRV51041,No,,,,,,,,,,15.0,0.4411764705882353,yes,52.0,yes,638.0,yes,351.0,yes
PRV51042,No,,,,,,,,,,67.0,0.47183098591549294,yes,52.0,yes,3194.0,yes,375.0,yes
PRV51043,No,,,,,,,,,,13.0,0.5652173913043478,yes,52.0,yes,861.0,yes,363.0,yes
PRV51044,No,,,,,,,,,,23.0,0.3898305084745763,yes,52.0,yes,2386.0,yes,371.0,yes
PRV51045,No,,,,,,,,,,14.0,0.45161290322580644,yes,50.0,yes,366.0,yes,271.0,yes
PRV51046,No,0.0,0.0,no,,,,,,,16.0,0.5333333333333333,yes,52.0,yes,2399.0,yes,371.0,yes
PRV51047,No,,,,,,,,,,5.0,0.45454545454545453,yes,50.0,yes,692.0,yes,340.0,yes
PRV51048,No,0.0,0.0,no,,,,,,,18.0,0.5294117647058824,yes,52.0,yes,2643.0,yes,371.0,yes
PRV51049,No,,,,,,,,,,31.0,0.43661971830985913,yes,52.0,yes,2619.0,yes,375.0,yes
PRV51052,Yes,0.0,0.0,no,,,,,,,18.0,0.4090909090909091,yes,52.0,yes,1909.0,yes,365.0,yes
PRV51053,No,0.0,0.0,no,,,,,,,,,,,,,,,
PRV51054,No,,,,,,,,,,20.0,0.3508771929824561,yes,52.0,yes,2420.0,yes,375.0,yes
PRV51055,No,0.0,0.0,no,,,,,,,7.0,0.35,yes,43.0,yes,259.0,yes,204.0,yes
PRV51056,No,0.0,0.0,no,,,,,,,8.0,0.4,yes,49.0,yes,469.0,yes,300.0,yes
PRV51057,No,,,,,,,,,,1.0,0.2,yes,38.0,yes,100.0,yes,93.0,yes
PRV51058,No,0.0,0.0,no,,,,,,,26.0,0.3333333333333333,yes,52.0,yes,2573.0,yes,376.0,yes
PRV51059,Yes,0.0,0.0,no,,,,,,,35.0,0.49295774647887325,yes,52.0,yes,2959.0,yes,374.0,yes
PRV51060,No,1.0,0.2,yes,2.0,yes,2.0,yes,2.0,yes,17.0,0.4594594594594595,yes,51.0,yes,1322.0,yes,368.0,yes
PRV51061,No,0.0,0.0,no,,,,,,,69.0,0.4791666666666667,yes,52.0,yes,2865.0,yes,373.0,yes
PRV51062,No,0.0,0.0,no,,,,,,,160.0,0.40609137055837563,yes,52.0,yes,3447.0,yes,380.0,yes
PRV51063,No,,,,,,,,,,67.0,0.44966442953020136,yes,52.0,yes,2888.0,yes,373.0,yes
PRV51064,Yes,2.0,0.05555555555555555,yes,3.0,yes,3.0,yes,4.0,yes,105.0,0.39325842696629215,yes,52.0,yes,3247.0,yes,379.0,yes
PRV51065,No,1.0,0.1,yes,3.0,yes,3.0,yes,3.0,yes,6.0,0.3333333333333333,yes,49.0,yes,303.0,yes,234.0,yes
PRV51066,No,0.0,0.0,no,,,,,,,9.0,0.4090909090909091,yes,52.0,yes,2351.0,yes,371.0,yes
PRV51067,Yes,0.0,0.0,no,,,,,,,26.0,0.5652173913043478,yes,52.0,yes,2608.0,yes,376.0,yes
