Provider,SharePhysician,MergeTotalClaim,MergeTotalPatient,MergeAvgClaimReimbursed,PotentialFraud,NumTopCodeClaim
PRV51001,1.0,25,24,4185.6,No,5.0
PRV51003,1.0,132,117,4588.409090909091,Yes,25.0
PRV51004,1.0,149,138,350.13422818791946,No,5.0
PRV51005,1.0,1165,495,241.1244635193133,Yes,25.0
PRV51007,1.0,72,58,468.19444444444446,No,3.0
PRV51008,1.0,43,36,828.6046511627907,No,0.0
PRV51011,1.0,58,53,286.7241379310345,No,1.0
PRV51012,1.0,48,31,351.875,No,1.0
PRV51013,1.0,46,44,323.4782608695652,No,2.0
PRV51014,1.0,30,25,349.3333333333333,No,1.0
PRV51015,1.0,8,7,87.5,No,0.0
PRV51016,1.0,6,6,28.333333333333332,No,0.0
PRV51017,1.0,515,420,277.126213592233,No,10.0
PRV51021,1.0,257,208,1357.3151750972763,Yes,20.0
PRV51023,1.0,36,35,1822.5,No,6.0
PRV51024,1.0,39,38,1642.3076923076924,No,5.0
PRV51025,1.0,87,76,1360.344827586207,No,6.0
PRV51026,1.0,76,56,261.05263157894734,No,1.0
PRV51027,1.0,53,44,563.0188679245283,No,0.0
PRV51029,1.0,93,79,329.6774193548387,No,2.0
PRV51030,1.0,171,145,4326.081871345029,No,25.0
PRV51031,1.0,185,157,1944.4324324324325,No,12.0
PRV51032,1.0,23,21,235.65217391304347,No,0.0
PRV51035,1.0,30,25,1085.3333333333333,No,0.0
PRV51036,1.0,278,131,269.3525179856115,No,5.0
PRV51037,1.0,454,206,753.8105726872246,Yes,10.0
PRV51038,1.0,141,107,1882.9078014184397,No,20.0
PRV51040,1.0,86,69,865.9302325581396,No,9.0
PRV51041,1.0,34,31,217.94117647058823,No,1.0
PRV51042,1.0,142,128,338.38028169014086,No,4.0
PRV51043,1.0,23,20,194.7826086956522,No,0.0
PRV51044,1.0,59,39,361.52542372881356,No,1.0
PRV51045,1.0,31,29,270.64516129032256,No,1.0
PRV51046,1.0,38,26,2878.157894736842,No,6.0
PRV51047,1.0,11,11,230.0,No,1.0
PRV51048,1.0,38,33,728.9473684210526,No,4.0
PRV51049,1.0,71,65,305.9154929577465,No,3.0
PRV51052,1.0,46,37,669.5652173913044,Yes,4.0
PRV51054,1.0,57,40,265.43859649122805,No,1.0
PRV51055,1.0,22,22,983.6363636363636,No,1.0
PRV51056,1.0,22,21,668.1818181818181,No,2.0
PRV51057,1.0,5,4,1366.0,No,0.0
PRV51058,1.0,83,75,1289.5180722891566,No,1.0
PRV51059,1.0,96,82,4386.041666666667,Yes,13.0
PRV51060,1.0,42,42,1040.7142857142858,No,6.0
PRV51061,1.0,145,67,378.8965517241379,No,1.0
PRV51062,1.0,397,166,386.3476070528967,No,16.0
PRV51063,1.0,149,115,343.02013422818794,No,3.0
PRV51064,1.0,303,227,1189.1749174917493,Yes,23.0
PRV51065,1.0,28,26,2734.6428571428573,No,3.0
PRV51066,1.0,24,21,1032.9166666666667,No,1.0
PRV51067,1.0,58,49,5767.586206896552,Yes,4.0
PRV51068,1.0,261,214,548.8888888888889,No,12.0
PRV51070,1.0,99,69,1266.7676767676767,No,5.0
PRV51071,1.0,24,24,356.25,No,0.0
