,Provider,PotentialFraud,DurationMedianIP,DurationMeanIP,DurationMedianOP,DurationMeanOP,Serves,ChronCondsMedian,ChronCondsMean,ChronConsMode,PtAgeMedian,PtAgeMean,NumPtsIP,NumPtsOP,NumStatesIP,NumStatesOP,SharePhysician,MergeTotalClaim,MergeTotalPatient,MergeAvgClaimReimbursed,NumTopCodeClaim,DupClaimNum_IP,DupClaimRatio_IP,DupClaim_IP,DupClaimStatesNum_IP,DupClaimMultiState_IP,DupClaimProviderNum_IP,DupClaimMultiProvider_IP,DupClaimStartDtNum_IP,DupClaimMultiStartDt_IP,DupClaimNum_OP,DupClaimRatio_OP,DupClaim_OP,DupClaimStatesNum_OP,DupClaimMultiState_OP,DupClaimProviderNum_OP,DupClaimMultiProvider_OP,DupClaimStartDtNum_OP,DupClaimMultiStartDt_OP,AvgDuration,NumOfPt,NumOfClm,ClmPerPt,TotalRev,RevPerPt,ClmNoPhy,ClmAllPhy,ClmNoProc,ClmPerDay
0,PRV51001,No,4.0,5.0,0.0,0.55,Both,6.0,5.76,5.0,79.0,77.88,5.0,19.0,1.0,1.0,1.0,25,24,4185.6,5.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.55,yes,50.0,yes,422.0,yes,278.0,yes,1.44,24,25,1.04,109980,4582.5,0,2,23,23
1,PRV51003,Yes,4.0,5.161290322580645,0.0,2.357142857142857,Both,7.0,6.674242424242424,6.0,71.0,69.08333333333333,53.0,66.0,3.0,3.0,1.0,132,117,4588.409090909091,25.0,yes,0.016129032258064516,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.35714285714285715,yes,52.0,yes,1351.0,yes,372.0,yes,3.67,117,132,1.13,671956,5743.21,0,4,93,111
2,PRV51004,No,0.0,0.0,0.0,1.429530201342282,OP,7.0,6.8120805369127515,8.0,72.0,71.26174496644295,0.0,138.0,0.0,9.0,1.0,149,138,350.13422818791946,5.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4832214765100672,yes,52.0,yes,3006.0,yes,375.0,yes,1.43,138,149,1.08,52480,380.29,0,12,149,117
3,PRV51005,Yes,0.0,0.0,0.0,1.088412017167382,OP,7.0,6.886695278969957,5.0,70.0,69.52618025751073,0.0,495.0,0.0,4.0,1.0,1165,495,241.1244635193133,25.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4549356223175965,yes,52.0,yes,3920.0,yes,382.0,yes,1.09,495,1165,2.35,284610,574.97,2,98,1165,356
4,PRV51007,No,5.0,5.333333333333333,0.0,0.7681159420289855,Both,7.0,6.986111111111111,6.0,69.5,68.30555555555556,3.0,56.0,1.0,2.0,1.0,72,58,468.1944444444445,3.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.42028985507246375,yes,52.0,yes,1816.0,yes,371.0,yes,0.96,58,72,1.24,36974,637.48,0,8,71,68
5,PRV51008,No,4.0,4.0,0.0,1.4146341463414633,Both,7.0,7.325581395348837,7.0,75.0,74.6046511627907,2.0,34.0,1.0,2.0,1.0,43,36,828.6046511627907,0.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.36585365853658536,yes,52.0,yes,2487.0,yes,371.0,yes,1.53,36,43,1.19,37946,1054.06,0,2,41,43
6,PRV51011,No,5.0,5.0,0.0,0.47368421052631576,Both,7.0,6.620689655172414,5.5,74.0,73.43103448275862,1.0,52.0,1.0,1.0,1.0,58,53,286.72413793103453,1.0,no,0.0,no,0.0,none,0.0,none,0.0,none,yes,0.4736842105263158,yes,52.0,yes,2698.0,yes,372.0,yes,0.55,53,58,1.09,17998,339.58,0,6,58,54
7,PRV51012,No,0.0,0.0,0.0,3.7083333333333335,OP,6.5,6.520833333333333,4.0,69.5,73.54166666666667,0.0,31.0,0.0,3.0,1.0,48,31,351.875,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.4166666666666667,yes,51.0,yes,1188.0,yes,366.0,yes,3.71,31,48,1.55,16990,548.06,1,2,48,44
8,PRV51013,No,0.0,0.0,0.0,1.4565217391304348,OP,7.0,6.826086956521739,8.0,74.0,73.41304347826087,0.0,44.0,0.0,2.0,1.0,46,44,323.4782608695652,2.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.39130434782608703,yes,52.0,yes,2451.0,yes,372.0,yes,1.46,44,46,1.05,15110,343.41,0,2,46,42
9,PRV51014,No,0.0,0.0,0.0,0.4666666666666667,OP,7.0,6.933333333333334,6.333333333333333,73.5,70.2,0.0,25.0,0.0,2.0,1.0,30,25,349.33333333333326,1.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.26666666666666666,yes,52.0,yes,859.0,yes,356.0,yes,0.47,25,30,1.2,10600,424.0,1,7,30,29
10,PRV51015,No,0.0,0.0,0.0,0.375,OP,5.5,5.0,6.0,68.5,71.125,0.0,7.0,0.0,1.0,1.0,8,7,87.5,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.375,yes,47.0,yes,394.0,yes,275.0,yes,0.38,7,8,1.14,700,100.0,0,1,8,8
11,PRV51016,No,0.0,0.0,0.0,0.3333333333333333,OP,5.5,5.666666666666667,6.0,73.5,69.83333333333333,0.0,6.0,0.0,1.0,1.0,6,6,28.33333333333333,0.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.3333333333333333,yes,50.0,yes,595.0,yes,324.0,yes,0.33,6,6,1.0,170,28.33,0,0,6,6
12,PRV51017,No,0.0,0.0,0.0,1.3572815533980582,OP,7.0,6.8,7.0,72.0,71.65631067961165,0.0,420.0,0.0,10.0,1.0,515,420,277.126213592233,10.0,0,0.0,none,0.0,none,0.0,none,0.0,none,yes,0.3941747572815534,yes,52.0,yes,3507.0,yes,382.0,yes,1.36,420,515,1.23,143770,342.31,2,54,513,284
13,PRV51021,Yes,4.0,4.793103448275862,0.0,1.644736842105263,Both,7.0,6.505836575875486,7.0,74.0,72.09727626459144,23.0,187.0,1.0,4.0,1.0,257,208,1357.3151750972766,20.0,yes,0.10344827586206896,yes,2.0,yes,2.0,yes,3.0,yes,yes,0.4473684210526316,yes,52.0,yes,3178.0,yes,381.0,yes,2.0,208,257,1.24,380322,1828.47,1,17,240,176
14,PRV51023,No,3.0,3.5555555555555554,0.0,3.7037037037037037,Both,6.0,6.916666666666667,6.0,70.5,72.33333333333333,9.0,27.0,1.0,1.0,1.0,36,35,1822.5,6.0,yes,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.4074074074074074,yes,52.0,yes,2427.0,yes,372.0,yes,3.67,35,36,1.03,71234,2035.26,0,6,31,35
15,PRV51024,No,4.0,4.333333333333333,0.0,0.8333333333333334,Both,6.0,6.589743589743589,5.0,69.0,67.74358974358974,9.0,29.0,1.0,2.0,1.0,39,38,1642.3076923076926,5.0,yes,0.1111111111111111,yes,2.0,yes,2.0,yes,2.0,yes,yes,0.4666666666666667,yes,52.0,yes,803.0,yes,359.0,yes,1.64,38,39,1.03,73752,1940.84,0,4,32,38
